date,z_ret_1,z_ret_2,z_ret_5,z_vol_20,z_ma_10,z_ma_20,z_ma_gap,z_rsi_14,z_vol_z,z_dow,z_pca_1,z_pca_2,z_pca_3,z_pca_4,z_pca_5,z_pca_6,z_pca_7,z_pca_8,z_pca_9,z_pca_10,z_pca_11,z_pca_12,z_has_news,z_pca_1_large,z_pca_2_large,z_pca_3_large,z_pca_4_large,z_pca_5_large,z_pca_6_large,z_pca_7_large,z_pca_8_large,z_pca_9_large,z_pca_10_large,z_pca_11_large,z_pca_12_large,z_pca_13_large,z_pca_14_large,z_has_news_large,target_h1,target_h5,target_h20,Symbol
2016-08-01,-0.09260471064838434,0.11908494945931909,-0.0900687318924647,-0.7159784923671917,1.1726015960836604,1.1518843259717428,0.21932562346597764,0.5228838861734418,-0.4505908546496988,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064276832552652,0.0051035368131673,0.0065244678547378,SPY
2016-08-02,-0.5304979478808239,0.004775904952697035,-0.01599548713747323,-0.7256795388015916,1.1714232517865444,1.1584941819845114,-0.08851722052181699,-0.1478268188419121,-0.06168597676135156,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029182649499368,0.0121274557862127,0.0113019982827218,SPY
2016-08-03,0.2005142358908291,-0.45861178744577696,-0.2859786173265273,-0.7384834522629641,1.1697476227744001,1.164530058074889,-0.03519598059856125,-0.36291752129258614,-0.83655050277549,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010633631843166,0.0067310162612095,0.0055357997451874,SPY
2016-08-04,0.05542935412215143,-0.24264006953750117,-0.12999835396543372,-0.7418804752650426,1.1700054244346525,1.1708992303378578,-0.055332562283150866,-0.14816601432208176,-0.9682609912882925,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081458276519592,0.0102975441628441,0.0045182033943902,SPY
2016-08-05,0.6093985933369384,0.18907452099652058,-0.13355931719128925,-0.8517189996381777,1.171736303669377,1.1760186365232133,0.2061203418419874,0.24211136703009697,-0.45183946215704385,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005962357177802,0.0012824933946848,0.0008704194768167,SPY
2016-08-08,-0.07437952037295371,0.4903428564148918,0.12245762699805572,-0.8538639176014455,1.1743139931539335,1.1803233132488289,0.14234179579491896,0.2810655577347391,-1.0675031009568956,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005962357177802,0.0047584206829709,0.0044844595438373,SPY
2016-08-09,0.018892037424587626,0.39469893453453647,0.13158897753612483,-0.8924525821909475,1.176946965572868,1.1833135218419077,0.13664229602885603,0.043133014754729415,-0.8193951224865348,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024781745750663,-0.0010092477203951,0.0037965622845312,SPY
2016-08-10,-0.22157916278309553,-0.04038967649601996,0.40684934311328613,-0.8831206193611812,1.1790092152958997,1.1858315402985413,0.018382857292669114,0.17400166504948783,-0.6774693108475425,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046298910859512,0.0033485940518831,0.0039894884370239,SPY
2016-08-11,0.33439252539302083,-0.14884721573785256,0.19536827077065072,-0.8915374791700262,1.1824706793591915,1.1881736592947325,0.17254408790282635,0.18732201797394152,-0.3762477154436317,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008692231161999,0.0009601197776669,-0.024866354114625,SPY
2016-08-12,-0.09573178018430734,0.08361535002919061,0.3351369352174495,-0.8931640270097396,1.1849380646693595,1.1906084071606016,0.11627050183509119,0.3917655315185068,-0.5769283420939785,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028796915705058,0.0003660551018027,-0.0097517443740979,SPY
