date,Symbol,Open,High,Low,Close,PX,Volume,ret_1,ret_2,ret_5,vol_20,ma_10,ma_20,ma_gap,rsi_14,vol_z,dow,target_h1,target_h5,target_h20,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,has_news,pca_1_large,pca_2_large,pca_3_large,pca_4_large,pca_5_large,pca_6_large,pca_7_large,pca_8_large,pca_9_large,pca_10_large,pca_11_large,pca_12_large,pca_13_large,pca_14_large,has_news_large
2007-08-21,SPY,144.60000610351562,145.97000122070312,144.13999938964844,144.92999267578125,103.04656219482422,157066400,0.0020032610261884187,0.017716698496953676,-0.004071380545910053,0.24042583053777997,102.78279037475586,103.63813362121581,-0.005708047855760401,46.98316904077259,-0.47391601194893057,1,0.011797734836159535,-0.008383904231826556,0.05653748792869173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-22,SPY,146.00999450683594,146.8000030517578,145.3300018310547,146.64999389648438,104.26947784423828,173156700,0.011797734836159535,0.001518641996675285,0.013336210165880935,0.24512915866747464,102.55668563842774,103.46180152893066,0.007806517027269866,48.13068266515545,-0.3466357690796491,2,-0.0008864811410154161,-0.0007499074495758151,0.03767229656696269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-23,SPY,147.33999633789062,147.64999389648438,145.61000061035156,146.52000427246094,104.17708587646484,203915300,-0.0008864811410154161,0.013800995862347953,0.03900496404183862,0.23053628937548107,102.63703155517578,103.40847587585449,0.0074327563006837405,56.255790250415245,-0.07915782113969161,3,0.01227757770258453,-0.0025284050081086917,0.0412542240636915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-24,SPY,146.47999572753906,148.3300018310547,146.27999877929688,148.3300018310547,105.4640121459961,128901900,0.01227757770258453,0.010911253695144119,0.030631213218286213,0.2228603611560022,102.89441375732422,103.52294921875,0.018750073697615832,55.014103251945436,-0.7668087150685733,4,-0.009347354074776604,-0.005001207582903788,0.02713240430654107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-27,SPY,147.85000610351562,148.3300018310547,146.72999572753906,146.9499969482422,104.48279571533205,113024300,-0.009347354074776604,0.011391096561569114,0.024707473394403934,0.21896033853075034,103.01670379638672,103.50766067504883,0.00942089729324036,48.04384274155369,-0.9133724686429211,0,-0.0222253815547786,0.014390687099732347,0.03449984691579999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-28,SPY,146.16000366210938,146.25,143.4600067138672,143.72000122070312,102.18624114990234,219790700,-0.0222253815547786,0.0029302236278079263,0.015844738349140464,0.22950475226092382,103.06718444824219,103.43655815124512,-0.012087766875562123,36.19522105528573,0.041802821173105555,1,0.019431731618410275,0.027925593699359652,0.06199572121307728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-29,SPY,144.3699951171875,146.74000549316406,143.9600067138672,146.5399932861328,104.19131469726562,207654200,0.019431731618410275,-0.031572735629555204,-0.008383904231826556,0.23977803751230142,103.45824127197265,103.44047088623047,0.007258704495467505,52.80358772172136,-0.08359891082316984,2,-0.0026649786995482927,0.01079150896565384,0.04846037475911125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-30,SPY,145.4499969482422,147.19000244140625,145.30999755859375,146.14999389648438,103.9140167236328,191817300,-0.0026649786995482927,-0.0027936499363683254,-0.0007499074495758151,0.23808281976040307,103.74620361328125,103.38892517089843,0.005078798835236986,53.56070323059617,-0.2358668291530626,3,0.009804775127789433,-0.000547277535652313,0.04778842696314012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-08-31,SPY,147.64999389648438,148.5,146.8300018310547,147.58999633789062,104.93788146972656,185477500,0.009804775127789433,0.016766752918861982,-0.0025284050081086917,0.22034419077054285,103.95097274780274,103.52366333007812,0.013660820088440051,55.581786185791636,-0.28758654912559284,4,0.010044540607859531,-0.012271210976078528,0.04919307731281286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-04,SPY,147.4499969482422,149.97999572753906,147.39999389648438,149.0800018310547,105.99724578857422,120062000,0.010044540607859531,0.007139796428241141,-0.005001207582903788,0.21546213677064688,104.2666633605957,103.62569084167481,0.022885781775127567,64.86999577307506,-0.8842431683740004,1,-0.008690474955151295,-0.01072229799223301,0.03778644836741574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-05,SPY,148.1999969482422,148.36000061035156,147.0,147.7899932861328,105.08007049560548,166261800,-0.008690474955151295,0.019849315735648965,0.014390687099732347,0.21490078246440214,104.47001419067382,103.62640228271485,0.014027971451954002,67.10586784154387,-0.46917517058587044,2,0.002297646884704463,0.0005411278128191199,0.04446308581311875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-06,SPY,147.9499969482422,148.61000061035156,147.1199951171875,148.1300048828125,105.32178497314452,127878400,0.002297646884704463,0.0013540656527082362,0.027925593699359652,0.20886341505795142,104.57524490356445,103.56596527099609,0.01695363624096058,65.86000247231759,-0.8071280981560223,3,-0.014003765200854446,0.005252129419968554,0.04372499618711245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-07,SPY,146.47999572753906,146.88999938964844,145.25999450683594,146.07000732421875,103.85716247558594,235447600,-0.014003765200854446,-0.006392828070446832,0.01079150896565384,0.18518874688608922,104.54325256347656,103.59014205932617,0.002577662419912974,53.68365066309373,0.18659460871579808,4,-0.0019191583126367817,0.01918858883743635,0.06954064828027384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-10,SPY,146.52000427246094,146.72000122070312,144.3300018310547,145.7899932861328,103.65803527832033,192305900,-0.0019191583126367817,-0.011706118316149983,-0.000547277535652313,0.18447241038520118,104.36265487670899,103.6285343170166,0.00028467990499092544,53.07995638857402,-0.22239837805695614,0,0.01159345359170505,0.015720436281357664,0.06611963075938121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-11,SPY,146.24000549316406,147.6999969482422,146.1300048828125,147.49000549316406,104.86678314208984,162081900,0.01159345359170505,-0.015922923513491227,-0.012271210976078528,0.188469226400457,104.40105361938477,103.70887870788575,0.011164949892723541,56.3746650749153,-0.5059396365299234,1,0.0025729508499008347,0.0331413725662868,0.06390025369546315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-12,SPY,147.2899932861328,148.44000244140625,146.97999572753906,147.8699951171875,105.13694763183594,149554600,0.0025729508499008347,0.009674295279068268,-0.01072229799223301,0.1785460325985325,104.69612426757813,103.88165435791015,0.012083878348729815,53.25523137133648,-0.6380173797471769,2,0.007008648491853897,0.036454670648339516,0.05966438257380258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-13,SPY,148.5500030517578,149.4499969482422,148.1999969482422,148.91000366210938,105.87640380859376,154079000,0.007008648491853897,0.014166404441605884,0.0005411278128191199,0.16959865080879183,104.86463317871093,104.1614372253418,0.01646450576082037,56.08145706177274,-0.6055533588224465,3,-6.730578338665083e-05,0.022378565630916114,0.04784315680094231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007-09-14,SPY,147.9600067138672,149.08999633789062,147.74000549316406,148.89999389648438,105.86927795410156,121911000,-6.730578338665083e-05,0.009581599341754732,0.005252129419968554,0.16889775702814572,105.0601593017578,104.40318145751954,0.01404264195893834,51.59660258695366,-0.8963879549420488,4,-0.005387310868715467,0.02514131777001616,0.05342700202027473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
